Row #,Time,Latitude,Longitude,Altitude,Number of Satellites,Start time,Distance,Azimuth,Elevation angle,Pressure,Temperature,Humidity,Battery voltage,T_int,T_pr,T_u,Length of XDATA packet,XDATA#,12#,23#,34#,45#,123#,234#,345#,1234#,2345#,12345#
46,'2016-01-24T14:46:04+08:00',25.014558792114258,121.53912353515625,29,9,6:47:13,0.05257143315146374,128.37896496025724,19.870515111460794,1032.73,4.81,71.72,5.0,30.39,32.19,4.81,50,2947,0,0,0,0,0,0,0,0,0,0
47,'2016-01-24T14:46:04+08:00',25.014558792114258,121.53912353515625,29,10,6:47:13,0.05257143315146374,128.37896496025724,19.870515111460794,1032.72,4.82,71.96,5.0,30.35,32.19,4.82,50,2948,1,0,0,0,0,0,0,0,0,0
48,'2016-01-24T14:46:05+08:00',25.014556884765625,121.53912353515625,29,10,6:47:14,0.05270351986975706,128.55991305625597,19.82460004706878,1032.74,4.74,71.51,5.0,30.37,32.19,4.74,50,2949,0,0,0,1,0,0,0,0,0,0
49,'2016-01-24T14:46:05+08:00',25.014556884765625,121.53912353515625,28,10,6:47:15,0.05270351986975706,128.55991305625597,18.856737828471314,1032.79,4.66,71.08,5.0,30.37,32.19,4.66,50,2950,1,0,0,0,0,0,0,0,0,0
50,'2016-01-24T14:46:06+08:00',25.014556884765625,121.53912353515625,28,10,6:47:16,0.05270351986975706,128.55991305625597,18.856737828471314,1032.74,4.64,70.2,5.0,30.38,32.18,4.64,50,2951,0,0,0,0,0,0,0,0,0,0
51,'2016-01-24T14:46:06+08:00',25.014558792114258,121.53912353515625,28,10,6:47:17,0.05257143315146374,128.37896496025724,18.900756375934872,1032.72,4.64,70.01,5.0,30.37,32.18,4.64,50,2952,0,0,1,0,0,0,0,0,0,0
52,'2016-01-24T14:46:06+08:00',25.014558792114258,121.53912353515625,28,10,6:47:18,0.05257143315146374,128.37896496025724,18.900756375934872,1032.68,4.6,70.13,5.0,30.36,32.17,4.6,50,2953,0,0,0,0,0,0,0,0,0,0
53,'2016-01-24T14:46:06+08:00',25.01456069946289,121.53913879394531,27,10,6:47:19,0.05365800237957668,127.18068735044675,17.579312657640134,1032.62,4.52,69.24,5.0,30.34,32.17,4.52,50,2954,0,0,0,0,0,0,0,0,0,0
54,'2016-01-24T14:46:07+08:00',25.01456069946289,121.53913879394531,27,10,6:47:20,0.05365800237957668,127.18068735044675,17.579312657640134,1032.73,4.46,68.96,5.0,30.33,32.16,4.46,50,2955,0,0,0,1,1,0,0,0,0,0
55,'2016-01-24T14:46:07+08:00',25.014562606811523,121.53913879394531,26,10,6:47:22,0.053529955351962845,126.9996211508823,16.64130346624259,1032.77,4.54,69.44,5.0,30.34,32.16,4.54,50,2956,0,0,0,0,0,0,0,0,0,0
56,'2016-01-24T14:46:08+08:00',25.014562606811523,121.53913879394531,25,10,6:47:23,0.053529955351962845,126.9996211508823,15.653771623124195,1032.8,4.51,69.35,5.0,30.36,32.16,4.51,50,2957,0,0,0,0,0,0,0,1,0,1
57,'2016-01-24T14:46:08+08:00',25.014562606811523,121.53913879394531,25,10,6:47:23,0.053529955351962845,126.9996211508823,15.653771623124195,1032.82,4.4,68.23,5.0,30.32,32.16,4.4,50,2958,0,0,0,0,0,0,0,0,0,0
58,'2016-01-24T14:46:08+08:00',25.014562606811523,121.53913879394531,25,10,6:47:24,0.053529955351962845,126.9996211508823,15.653771623124195,1032.86,4.37,67.95,5.0,30.31,32.16,4.37,50,2959,0,0,0,0,1,0,0,0,0,0
59,'2016-01-24T14:46:09+08:00',25.014564514160156,121.53913879394531,25,10,6:47:25,0.05340244548196526,126.81768845825637,15.68930981296558,1032.88,4.37,67.78,5.0,30.35,32.16,4.37,50,2960,0,0,0,0,0,0,0,0,0,0
60,'2016-01-24T14:46:09+08:00',25.01456642150879,121.53913879394531,25,10,6:47:26,0.053275476625855515,126.6348867317818,15.724853862427544,1032.86,4.29,67.71,5.0,30.33,32.16,4.29,50,2961,0,0,0,0,0,0,0,0,0,0
61,'2016-01-24T14:46:09+08:00',25.014568328857422,121.53913879394531,24,10,6:47:27,0.05314905266180105,126.45121347932515,14.757079139935186,1032.89,4.29,68.09,5.0,30.34,32.15,4.29,50,2962,1,0,0,0,0,0,0,0,0,0
62,'2016-01-24T14:46:10+08:00',25.014570236206055,121.53913879394531,24,10,6:47:28,0.0530231774869577,126.2666662551968,14.790577881141674,1032.89,4.4,68.75,5.0,30.31,32.15,4.4,50,2963,0,0,0,0,0,0,0,0,0,0
63,'2016-01-24T14:46:10+08:00',25.014572143554688,121.53913879394531,24,10,6:47:29,0.0528978550190046,126.0812426631926,14.824077565736077,1032.82,4.64,69.63,5.0,30.32,32.15,4.64,50,2964,0,0,0,0,0,0,0,0,0,0
64,'2016-01-24T14:46:11+08:00',25.014572143554688,121.53913879394531,24,10,6:47:30,0.0528978550190046,126.0812426631926,14.824077565736077,1032.86,4.8,69.92,5.0,30.32,32.15,4.8,50,2965,0,0,1,0,0,0,0,0,0,0
65,'2016-01-24T14:46:11+08:00',25.014577865600586,121.53913879394531,23,10,6:47:32,0.052525243330532,125.51969048341157,13.901353108605036,1032.84,5.04,70.03,5.0,30.34,32.15,5.04,50,2966,0,0,1,1,0,0,1,0,0,0
66,'2016-01-24T14:46:11+08:00',25.014577865600586,121.53913879394531,23,10,6:47:33,0.052525243330532,125.51969048341157,13.901353108605036,1032.88,4.84,69.86,5.0,30.31,32.14,4.84,50,2967,0,0,0,0,0,0,0,0,0,0
67,'2016-01-24T14:46:12+08:00',25.014577865600586,121.53913879394531,23,8,6:47:33,0.052525243330532,125.51969048341157,13.901353108605036,1032.87,4.8,70.39,5.0,30.31,32.14,4.8,50,2968,0,0,0,0,0,1,0,0,0,0
68,'2016-01-24T14:46:12+08:00',25.01457977294922,121.53913879394531,23,8,6:47:34,0.052402171262811555,125.33073849078379,13.932731374831244,1032.83,4.9,70.05,5.0,30.33,32.13,4.9,50,2969,0,0,0,0,0,0,0,0,0,0
69,'2016-01-24T14:46:12+08:00',25.014577865600586,121.53913879394531,23,8,6:47:35,0.052525243330532,125.51969048341157,13.901353108605036,1032.83,5.05,70.19,5.0,30.3,32.13,5.05,50,2970,0,0,1,0,0,0,0,0,0,0
70,'2016-01-24T14:46:13+08:00',25.014577865600586,121.53913879394531,23,8,6:47:36,0.052525243330532,125.51969048341157,13.901353108605036,1032.79,4.89,70.34,5.0,30.32,32.13,4.89,50,2971,0,0,0,0,0,0,0,0,0,0
71,'2016-01-24T14:46:13+08:00',25.014575958251953,121.53913879394531,23,8,6:47:37,0.05264888397354318,125.70775704382832,13.869969089686268,1032.86,4.67,70.05,5.0,30.29,32.12,4.67,50,2972,0,0,0,0,0,0,0,0,0,0
72,'2016-01-24T14:46:13+08:00',25.014575958251953,121.53913879394531,23,8,6:47:38,0.05264888397354318,125.70775704382832,13.869969089686268,1032.93,4.55,69.89,5.0,30.33,32.11,4.55,50,2973,0,1,0,0,0,0,0,0,0,0
73,'2016-01-24T14:46:14+08:00',25.014575958251953,121.53912353515625,23,8,6:47:39,0.051406848802153425,126.70912086637385,14.191690486963493,1032.92,4.61,70.22,5.0,30.33,32.11,4.61,50,2974,1,0,0,0,0,0,0,0,0,0
74,'2016-01-24T14:46:14+08:00',25.014572143554688,121.53912353515625,24,8,6:47:40,0.05166180583084905,127.08668028237543,15.162603420102524,1032.89,4.78,70.27,5.0,30.31,32.11,4.78,50,2975,0,0,0,0,0,0,0,0,0,0
75,'2016-01-24T14:46:15+08:00',25.014570236206055,121.53912353515625,25,8,6:47:42,0.051790119375210664,127.27406191161111,16.152630506220856,1032.89,4.65,69.52,5.0,30.32,32.11,4.65,50,2976,0,0,0,1,0,0,0,0,0,0
76,'2016-01-24T14:46:15+08:00',25.01456642150879,121.53912353515625,26,8,6:47:43,0.05204839593860795,127.64604356186392,17.087753144916153,1032.79,4.82,69.51,5.0,30.32,32.1,4.82,50,2977,0,0,0,0,0,0,0,0,0,1
77,'2016-01-24T14:46:16+08:00',25.01456642150879,121.53912353515625,26,10,6:47:43,0.05204839593860795,127.64604356186392,17.087753144916153,1032.9,4.95,69.47,5.0,30.31,32.1,4.95,50,2978,0,0,0,0,0,0,0,0,0,0
78,'2016-01-24T14:46:16+08:00',25.01456642150879,121.53912353515625,26,10,6:47:44,0.05204839593860795,127.64604356186392,17.087753144916153,1032.83,5.0,69.71,5.0,30.29,32.09,5.0,50,2979,0,0,0,0,0,0,0,1,0,1
79,'2016-01-24T14:46:16+08:00',25.014568328857422,121.53912353515625,26,10,6:47:45,0.05191898410913381,127.46051535151575,17.127855911148263,1032.84,5.04,69.98,5.0,30.3,32.1,5.04,50,2980,0,0,0,0,0,0,0,0,0,0
80,'2016-01-24T14:46:17+08:00',25.014570236206055,121.53912353515625,25,10,6:47:46,0.051790119375210664,127.27406191161111,16.152630506220856,1032.85,4.97,70.12,5.0,30.29,32.1,4.97,50,2981,0,0,0,1,0,0,0,0,0,0
81,'2016-01-24T14:46:17+08:00',25.014570236206055,121.53912353515625,25,10,6:47:47,0.051790119375210664,127.27406191161111,16.152630506220856,1032.9,4.8,69.98,5.0,30.29,32.1,4.8,50,2982,0,0,0,0,0,0,0,0,0,0
82,'2016-01-24T14:46:18+08:00',25.01456642150879,121.53912353515625,25,10,6:47:48,0.05204839593860795,127.64604356186392,16.076628046208494,1032.92,4.91,70.17,5.0,30.3,32.1,4.91,50,2983,0,0,0,0,0,0,0,2,0,1
83,'2016-01-24T14:46:18+08:00',25.01456642150879,121.53912353515625,25,10,6:47:49,0.05204839593860795,127.64604356186392,16.076628046208494,1032.94,5.0,70.42,5.0,30.31,32.1,5.0,50,2984,0,0,0,0,0,0,0,0,0,0
84,'2016-01-24T14:46:18+08:00',25.01456642150879,121.53912353515625,26,10,6:47:50,0.05204839593860795,127.64604356186392,17.087753144916153,1033.0,4.9,70.88,5.0,30.29,32.11,4.9,50,2985,0,0,0,0,0,0,0,0,0,0
85,'2016-01-24T14:46:19+08:00',25.014568328857422,121.53910827636719,26,10,6:47:52,0.05070580515212231,128.51845544620465,17.512868081866838,1033.06,5.0,70.87,5.0,30.27,32.11,5.0,50,2986,0,0,0,0,0,1,0,0,0,0
86,'2016-01-24T14:46:19+08:00',25.014570236206055,121.53910827636719,26,10,6:47:53,0.05057384929025112,128.330251713111,17.555758709572082,1033.12,4.99,71.39,5.0,30.28,32.1,4.99,50,2987,1,0,0,0,0,0,0,0,0,0
87,'2016-01-24T14:46:20+08:00',25.014570236206055,121.53910827636719,26,9,6:47:53,0.05057384929025112,128.330251713111,17.555758709572082,1033.05,4.92,71.8,5.0,30.27,32.1,4.92,50,2988,0,0,1,0,0,1,0,0,0,0
88,'2016-01-24T14:46:20+08:00',25.014570236206055,121.53910827636719,26,9,6:47:54,0.05057384929025112,128.330251713111,17.555758709572082,1033.03,4.83,72.03,5.0,30.29,32.1,4.83,50,2989,0,0,0,0,0,0,0,0,0,0
89,'2016-01-24T14:46:20+08:00',25.014570236206055,121.53910827636719,27,9,6:47:55,0.05057384929025112,128.330251713111,18.579664097832815,1033.05,4.84,72.3,5.0,30.27,32.1,4.84,50,2990,0,1,1,0,0,1,0,0,0,0
90,'2016-01-24T14:46:20+08:00',25.014572143554688,121.53910827636719,27,9,6:47:56,0.0504424419588581,128.14106535297162,18.624731471658748,1032.94,4.82,72.15,5.0,30.27,32.09,4.82,50,2991,0,0,0,0,0,0,0,0,0,0
91,'2016-01-24T14:46:21+08:00',25.014572143554688,121.53910827636719,27,9,6:47:57,0.0504424419588581,128.14106535297162,18.624731471658748,1032.87,4.77,71.66,5.0,30.29,32.09,4.77,50,2992,0,0,0,1,0,0,0,0,0,0
92,'2016-01-24T14:46:21+08:00',25.01457405090332,121.53910827636719,27,9,6:47:58,0.05031158745557902,127.95089280662937,18.669819268263588,1032.84,4.97,71.87,5.0,30.29,32.09,4.97,50,2993,0,0,1,0,0,1,0,0,1,0
93,'2016-01-24T14:46:21+08:00',25.01457405090332,121.53910827636719,27,9,6:47:59,0.05031158745557902,127.95089280662937,18.669819268263588,1032.92,4.95,71.75,5.0,30.26,32.08,4.95,50,2994,1,0,0,0,0,0,0,0,0,0
